module,resource_id,canvas_page_title,canvas_body_file,standalone_file
1,"lecture-01","Lecture 1: Introduction and Data Representation — Accessible Lecture","canvas-page-bodies/lecture-01.html","standalone/lecture-01.html"
2,"lecture-02","Lecture 2: Signed Data, Boolean Logic, and Adders — Accessible Lecture","canvas-page-bodies/lecture-02.html","standalone/lecture-02.html"
3,"lecture-03","Lecture 3: Boolean Algebra and Circuit Simplification — Accessible Lecture","canvas-page-bodies/lecture-03.html","standalone/lecture-03.html"
4,"lecture-04","Lecture 4: Karnaugh Maps — Accessible Lecture","canvas-page-bodies/lecture-04.html","standalone/lecture-04.html"
5,"lecture-05","Lecture 5: Combinational Logic and Data Selection — Accessible Lecture","canvas-page-bodies/lecture-05.html","standalone/lecture-05.html"
6,"lecture-06","Lecture 6: Memory Cells and Sequential Logic — Accessible Lecture","canvas-page-bodies/lecture-06.html","standalone/lecture-06.html"
7,"lecture-07","Lecture 7: Memory Organization and Buses — Accessible Lecture","canvas-page-bodies/lecture-07.html","standalone/lecture-07.html"
8,"lecture-08","Lecture 8: Memory-Mapped I/O and Polling — Accessible Lecture","canvas-page-bodies/lecture-08.html","standalone/lecture-08.html"
9,"lecture-08-supplement","Lecture 8 supplement: Detailed I/O and Memory — Accessible Lecture","canvas-page-bodies/lecture-08-supplement.html","standalone/lecture-08-supplement.html"
10,"lecture-09","Lecture 9: Memory Hierarchy and Cache — Accessible Lecture","canvas-page-bodies/lecture-09.html","standalone/lecture-09.html"
11,"lecture-10","Lecture 10: CPU Components and Instruction Execution — Accessible Lecture","canvas-page-bodies/lecture-10.html","standalone/lecture-10.html"
12,"lecture-11","Lecture 11: Processor Pipelining — Accessible Lecture","canvas-page-bodies/lecture-11.html","standalone/lecture-11.html"
13,"lecture-12","Lecture 12: Address Spaces, x86 Registers, and Assembly — Accessible Lecture","canvas-page-bodies/lecture-12.html","standalone/lecture-12.html"
